src,trg
"Hello doctor, I get a cough for the last few days, which is heavy during night times. No raise in temperature but feeling tired with no travel history. No contact with any Covid-19 persons. It has been four to five days and has drunk a lot of Benadryl and took Paracetamol too. Doctors have shut the OP so do not know what to do? Please help.
","Hello, I understand your concern. I just have a few more questions.
"
"Thank you doctor, I have phlegm but not a lot. A tiny amount comes out most of the time. I have no difficulty in breathing. No medical conditions and not a smoker nor a drinker.
","Hi, I would recommend you take n-acetylcysteine 200 mg powder dissolved in water three times a day. You may also nebulize using PNSS (saline nebulizer) three times a day. This will help the phlegm to come out. I would also recommend you take vitamin C 500 mg and zinc to boost your immune system. If symptoms persist, worsen or new onset of symptoms has been noted, further consult is advised.
"
"Hello doctor, I am suffering from coughing, throat infection from last week. At that time fever did not persist and also did not felt any chest pain. Two days later, I consulted with a doctor. He prescribed Cavidur 625, Montek LC, Ambrolite syrup and Betaline gargle solution. Since then throat infection improved and frequent cough also coming out. Coughing also improved remarkably though not completely. From yesterday onwards fever is occuring (maximum 100-degree Celcius). I have not come in touch with any foreign returned person nor went outside. In our state, there is no incidence of Covid-19. Please suggest what to do?
","Hello, I can understand your concern.
"
"Thank you doctor, After doing all these I can upload all for further query.
","Hi, yes, upload in this query only. I will see and revert to you.
"
"Thank you doctor, As per your guidelines, I have made one test. Due to city shutdown, I could not able to make an x-ray of chest. Fever is coming every 12 hours. But cough does not persist currently. The only problem is a fever. I am uploading the blood examination report. Please advice.
","Hi, I can understand your concern. I have gone through the report you have attached. (attachment removed to protect patient identity).
"
"Thank you doctor, How many tablets of Azithromycin to be taken? Is it in the morning? I want to make you know that I have already taken Azithromycin five days before. Should she start it? And also can I start an Iron tablet today itself?
","Hi, Yes, you can take iron tablet from today onwards. And no need for Azithromycin now as you have already taken it. Drink plenty of fluids orally and keep yourself hydrated. Do warm water gargles and steam inhalation four to five times a day.
"
"Hello doctor,
","Hi there, how can we help today?
"
"I am a 23-year-old man. I have anxiety and depression but no immunodeficiency disorders or chronic diseases. First, I wanna know if my immune system is weakened and how likely am I to die of Coronavirus.
","Hello. Anxiety can manifest itself in physical or psychological symptoms or both. The irritation sensation you are experiencing is a part of your anxiety. Also please do not believe the hype about covid. It has a low mortality rate, of 2-3 percent, that too mortality is very high in people above 60-70 years with other co-morbidities. You do not have any such disorders and you have not even been in contact with anyone, so do not worry.
"
"Hello doctor,
","Hello,
"
"Thank you doctor, I travel to school, nearby grocery stores in the bus. No airport exposure. I have not checked the temperature. I do not feel hot or anything. I have minor coughs and sore throat. Yes, I have mucus which seems white or clear for now.
","Hi, most probably with the history it does not appear like a severe problem or Coronavirus infection. Is sore throat severe and does the pain last the whole day? Do you smoke or drink?
"
"Thank you doctor, I woke up this morning, I had trouble sleeping being worried, but I got some sleep then nearby phone ringing woke me up.
","Hi, you have got it right. Follow all the precautions. You will be alright soon. Try getting a good sleep tonight.
"
"Thank you doctor, As of now 12:40 PM I am breathing harder than usual since 30 minutes ago. I only ate some breakfast and drank water.
","Hello, always Protonix is better than Zantac. Try using Protonix (Pantoprazole). Do not lie down immediately after consuming meals. Do not drink a lot of water after a meal. Avoid spicy and oily foods.
"
